Epoch: (146), Loss : 4.495335578918457 , acc: 75.048828125%
Epoch: (147), Loss : 5.377400970458984 , acc: 57.9443359375%
Epoch: (148), Loss : 5.117431216769749 , acc: 62.74956597222222%
Epoch: (149), Loss : 4.846861267089844 , acc: 66.875%
Epoch: (150), Loss : 5.055139541625977 , acc: 63.56201171875%
Epoch: (151), Loss : 5.3260040283203125 , acc: 59.16819852941176%
Epoch: (152), Loss : 4.682215690612793 , acc: 68.45703125%
Epoch: (153), Loss : 5.288301595052084 , acc: 59.544270833333336%
Epoch: (154), Loss : 5.042961120605469 , acc: 63.51318359375%
Epoch: (155), Loss : 4.263991832733154 , acc: 75.732421875%
Epoch: (156), Loss : 4.88530699412028 , acc: 65.83658854166667%
Epoch: (157), Loss : 5.082917022705078 , acc: 63.65234374999999%
Epoch: (158), Loss : 5.207432673527644 , acc: 61.598557692307686%
Epoch: (159), Loss : 4.583500862121582 , acc: 69.8974609375%
Epoch: (160), Loss : 4.6672607421875 , acc: 68.59375%
Epoch: (161), Loss : 5.166476567586263 , acc: 62.95572916666667%
Epoch: (162), Loss : 5.199361947866587 , acc: 61.726262019230774%
Epoch: (163), Loss : 4.992769029405382 , acc: 64.86545138888889%
Epoch: (164), Loss : 5.142896016438802 , acc: 62.51627604166667%
Epoch: (165), Loss : 5.241736857096354 , acc: 60.69010416666667%
Epoch: (166), Loss : 4.101159572601318 , acc: 96.6796875%
Epoch: (167), Loss : 4.937305450439453 , acc: 64.81584821428572%
Epoch: (168), Loss : 4.3176225026448565 , acc: 73.27473958333333%
Epoch: (169), Loss : 5.436347579956054 , acc: 57.4365234375%
Epoch: (170), Loss : 4.217652956644694 , acc: 73.99088541666667%
Epoch: (171), Loss : 5.227509238503196 , acc: 61.07954545454546%
Epoch: (172), Loss : 5.167394117875532 , acc: 61.40802556818181%
Epoch: (173), Loss : 5.307138231065538 , acc: 59.46180555555556%
Epoch: (174), Loss : 5.089482116699219 , acc: 62.66601562500001%
Epoch: (175), Loss : 5.1021881103515625 , acc: 62.71306818181819%
Epoch: (176), Loss : 5.176191057477679 , acc: 61.60016741071428%
Epoch: (177), Loss : 5.103952089945476 , acc: 63.24055989583333%
Epoch: (178), Loss : 4.4049631754557295 , acc: 71.61458333333333%
Epoch: (179), Loss : 5.384992499100535 , acc: 57.920435855263165%
Epoch: (180), Loss : 4.959949970245361 , acc: 65.05126953125%
Epoch: (181), Loss : 5.153316791240986 , acc: 62.492487980769226%
Epoch: (182), Loss : 5.035764694213867 , acc: 64.140625%
Epoch: (183), Loss : 5.287401535931756 , acc: 59.90923713235294%
Epoch: (184), Loss : 5.1945439656575525 , acc: 61.94661458333333%
Epoch: (185), Loss : 5.316750717163086 , acc: 59.462890625%
Epoch: (186), Loss : 4.549027442932129 , acc: 69.82421875%
Epoch: (187), Loss : 4.961357116699219 , acc: 64.6484375%
Epoch: (188), Loss : 5.015659332275391 , acc: 64.26866319444444%
Epoch: (189), Loss : 5.378913879394531 , acc: 57.919921875%
Epoch: (190), Loss : 4.864521571568081 , acc: 65.44363839285714%
Epoch: (191), Loss : 5.270172119140625 , acc: 60.00114889705883%
Epoch: (192), Loss : 4.93599796295166 , acc: 65.7958984375%
Epoch: (193), Loss : 5.065987269083659 , acc: 63.63118489583333%
